,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
150,El secreto de sus ojos,(2009),129 min,8.2,80        ,"202,687",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
151,Dune: Part One,(2021),155 min,8.2,74        ,"379,442",%^%^%^,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.
152,Shutter Island,(2010),138 min,8.2,63        ,"1,214,950",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
153,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,8.2,75        ,"40,793",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
154,Up,(2009),96 min,8.2,88        ,"986,201",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
155,Miracle in Cell No. 7,(2019),132 min,8.2,****,"43,803",%^%^%^,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
156,Article 15,(2019),130 min,8.2,****,"28,552",%^%^%^,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
157,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,288,170",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
158,Chak De! India,(2007),153 min,8.2,68        ,"77,952",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
159,Babam ve Oglum,(2005),112 min,8.2,****,"83,853",%^%^%^,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
160,There Will Be Blood,(2007),158 min,8.2,93        ,"552,055",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
161,Pan's Labyrinth,(2006),118 min,8.2,98        ,"644,016",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
162,Toy Story 3,(2010),103 min,8.2,92        ,"793,850",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
163,Black,(2005),122 min,8.2,****,"34,368",$0.73M,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
164,Batman Begins,(2005),140 min,8.2,70        ,"1,374,799",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
165,"Swades: We, the People",(2004),210 min,8.2,****,"87,684",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
166,Der Untergang,(2004),156 min,8.2,82        ,"344,205",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
167,Hauru no ugoku shiro,(2004),119 min,8.2,80        ,"363,937",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
168,A Beautiful Mind,(2001),135 min,8.2,72        ,"889,794",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
169,Hera Pheri,(2000),156 min,8.2,****,"63,049",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
170,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,66        ,"560,131",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
171,L.A. Confidential,(1997),138 min,8.2,90        ,"558,133",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
172,Eskiya,(1996),128 min,8.2,****,"68,351",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
173,Heat,(1995),170 min,8.2,76        ,"616,266",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
174,Casino,(1995),178 min,8.2,73        ,"493,403",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
175,Unforgiven,(1992),130 min,8.2,85        ,"395,700",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
176,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"723,593",$197.17M,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
177,Tonari no Totoro,(1988),86 min,8.2,86        ,"315,791",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
178,Die Hard,(1988),132 min,8.2,72        ,"829,879",$83.01M,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
179,Ran,(1985),162 min,8.2,96        ,"120,658",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
180,Raging Bull,(1980),129 min,8.2,89        ,"338,745",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
181,Höstsonaten,(1978),99 min,8.2,****,"32,205",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
182,Taxi Driver,(1976),114 min,8.2,94        ,"771,112",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
183,The Message,(1976),177 min,8.2,****,"46,065",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
184,Sholay,(1975),204 min,8.2,****,"54,103",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
185,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"521,937",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
186,Chinatown,(1974),130 min,8.2,92        ,"312,604",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
187,Anand,(1971),122 min,8.2,****,"33,042",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
188,Z,(1969),127 min,8.2,86        ,"26,588",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
189,Per qualche dollaro in più,(1965),132 min,8.2,74        ,"246,015",$15.00M,Two bounty hunters with the same intentions team up to track down a Western outlaw.
190,The Great Escape,(1963),172 min,8.2,86        ,"235,757",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
191,To Kill a Mockingbird,(1962),129 min,8.2,88        ,"306,466",%^%^%^,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
192,Yôjinbô,(1961),110 min,8.2,93        ,"118,395",%^%^%^,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
193,Judgment at Nuremberg,(1961),179 min,8.2,60        ,"74,431",%^%^%^,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
194,Some Like It Hot,(1959),121 min,8.2,98        ,"256,537",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
195,Smultronstället,(1957),91 min,8.2,88        ,"103,326",%^%^%^,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
196,Det sjunde inseglet,(1957),96 min,8.2,88        ,"177,498",%^%^%^,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
197,Dial M for Murder,(1954),105 min,8.2,75        ,"168,540",$0.01M,A former tennis player tries to arrange his wife's murder after learning of her affair.
198,Tôkyô monogatari,(1953),136 min,8.2,****,"58,528",%^%^%^,"An old couple visit their children and grandchildren in the city, but receive little attention."
199,Rashômon,(1950),88 min,8.2,98        ,"161,777",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
200,All About Eve,(1950),138 min,8.2,98        ,"127,091",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
201,The Treasure of the Sierra Madre,(1948),126 min,8.2,98        ,"120,809",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
202,To Be or Not to Be,(1942),99 min,8.2,86        ,"34,500",%^%^%^,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
